,hidden_feature,num_iteration,alpha,dropout,F1_score,Accuracy,Prediction Time
0,32,4,0.2,0.2,0.8620430535295938,0.8625110387802124,0.002644062042236328
1,32,4,0.2,0.0,0.8600044120891241,0.8600353598594666,0.0026497840881347656
2,32,4,0.05,0.2,0.8557790055248619,0.8557029366493225,0.0026504993438720703
3,32,4,0.05,0.0,0.8569022822955905,0.8572059869766235,0.002634763717651367
4,32,16,0.2,0.2,0.8419282014961711,0.8456233143806458,0.008182525634765625
5,32,16,0.2,0.0,0.8676061315545346,0.8671971559524536,0.007813692092895508
6,32,16,0.05,0.2,0.8396168380349767,0.8459770083427429,0.008275508880615234
7,32,16,0.05,0.0,0.8010457044983322,0.8187444806098938,0.00783538818359375
8,32,32,0.2,0.2,0.0,0.7394341230392456,0.015481948852539062
9,32,32,0.2,0.0,0.8610951518097848,0.8615384697914124,0.01604461669921875
10,32,32,0.05,0.2,0.0,0.7415561676025391,0.015407800674438477
11,32,32,0.05,0.0,0.8573207060602018,0.8591511845588684,0.016307353973388672
12,64,4,0.2,0.2,0.8611860434263476,0.8606542944908142,0.0047664642333984375
13,64,4,0.2,0.0,0.8629809818664308,0.8625110387802124,0.004790544509887695
14,64,4,0.05,0.2,0.8592907048730875,0.8590627908706665,0.004775047302246094
15,64,4,0.05,0.0,0.8583687190375089,0.8587090969085693,0.004785299301147461
16,64,16,0.2,0.2,0.8550996692589613,0.8612732291221619,0.015207290649414062
17,64,16,0.2,0.0,0.8628179606281796,0.8629531264305115,0.015278816223144531
18,64,16,0.05,0.2,0.8279954620822061,0.8259946703910828,0.015551328659057617
19,64,16,0.05,0.0,0.8596003705174011,0.8590627908706665,0.015144824981689453
20,64,32,0.2,0.2,0.0,0.7419098019599915,0.029277324676513672
21,64,32,0.2,0.0,0.8633551352306876,0.8637489080429077,0.03133869171142578
22,64,32,0.05,0.2,0.0,0.7399646043777466,0.030579090118408203
23,64,32,0.05,0.0,0.8655737704918033,0.8667550683021545,0.02903604507446289
24,128,4,0.2,0.2,0.8594288745469012,0.8596817255020142,0.009295940399169922
25,128,4,0.2,0.0,0.8632127556203348,0.8627762794494629,0.009801387786865234
26,128,4,0.05,0.2,0.8626878868258179,0.8629531264305115,0.009907007217407227
27,128,4,0.05,0.0,0.8617850185939437,0.8620689511299133,0.009805679321289062
28,128,16,0.2,0.2,0.8430410790925812,0.8423519134521484,0.03182697296142578
29,128,16,0.2,0.0,0.8590645603787779,0.8592396378517151,0.02963566780090332
30,128,16,0.05,0.2,0.8440113899270333,0.8471264243125916,0.029680490493774414
31,128,16,0.05,0.0,0.8105671264989631,0.8221927285194397,0.032120466232299805
32,128,32,0.2,0.2,0.0,0.738815188407898,0.06238126754760742
33,128,32,0.2,0.0,0.8607169694558635,0.8603890538215637,0.06162619590759277
34,128,32,0.05,0.2,0.0,0.7410256266593933,0.060277700424194336
35,128,32,0.05,0.0,0.79772567957006,0.7800176739692688,0.06311821937561035
